Item Name,Code,Quantity,Expiration Date
Oranges,124123,3,12/4/2019
Tomatoes,6.5988E+17,150,7/12/2018
Oranges,564987659,15,1/1/2020
Tomatoes,6.5988E+17,14,7/12/2018
Pear,498944,56,4/4/2019
Apples,5649,1,7/3/2019
Banana,4568465,45,11/12/2018
Apples,12312414,14,6/13/2018
Peach,354694,65,12/11/2018
Onions,684643,34,12/1/2018
Pineapple,4568768686,451,3/21/2015
Apples,12312414,27,6/12/2018
Pineapple,4568768686,56,3/21/2015
Onions,465987651,17,4/4/2019
Banana,1689546,65,10/12/2018
Peach,946598,1,11/10/2017
Tomatoes,6.5988E+17,2,6/20/2019
Pear,498944,45,4/4/2019
Lime,4565465,89,2/3/2019
Oranges,456987,4,12/4/2019
